Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,4230.000000,4370.000000,4010.000000,4200.000000,3940.363525,68700
2018-11-13,4200.000000,4200.000000,4030.000000,4100.000000,3846.545410,8800
2018-11-14,4100.000000,4190.000000,4080.000000,4120.000000,3865.309082,8800
2018-11-15,4120.000000,4180.000000,4050.000000,4100.000000,3846.545410,57600
2018-11-16,4180.000000,4180.000000,4070.000000,4090.000000,3837.163574,28300
2018-11-19,3990.000000,4100.000000,3990.000000,4090.000000,3837.163574,117800
2018-11-20,4090.000000,4090.000000,4090.000000,4090.000000,3837.163574,0
2018-11-21,4090.000000,4090.000000,3850.000000,4060.000000,3809.018066,50000
2018-11-22,4050.000000,4050.000000,3820.000000,3840.000000,3602.618164,38600
2018-11-23,3950.000000,4000.000000,3840.000000,3840.000000,3602.618164,27300
2018-11-26,3900.000000,4800.000000,3900.000000,4800.000000,4503.272949,343200
2018-11-27,5200.000000,6000.000000,5175.000000,6000.000000,5629.090820,435000
2018-11-28,6400.000000,6875.000000,5550.000000,5575.000000,5230.363770,843300
2018-11-29,5500.000000,5700.000000,5025.000000,5650.000000,5300.727051,329700
2018-11-30,5700.000000,5750.000000,5350.000000,5700.000000,5347.636230,185000
2018-12-03,5800.000000,5950.000000,5700.000000,5800.000000,5441.454590,209000
2018-12-04,5800.000000,6775.000000,5600.000000,6750.000000,6332.727051,660100
2018-12-05,6850.000000,7100.000000,6200.000000,6725.000000,6309.272949,931000
2018-12-06,6725.000000,6775.000000,6425.000000,6500.000000,6098.181641,138200
2018-12-07,6450.000000,6675.000000,6400.000000,6500.000000,6098.181641,130400
2018-12-10,6475.000000,6525.000000,6175.000000,6500.000000,6098.181641,107100
2018-12-11,6500.000000,6675.000000,6400.000000,6675.000000,6262.363770,181900
2018-12-12,6675.000000,6875.000000,6625.000000,6675.000000,6262.363770,268700
2018-12-13,6675.000000,6825.000000,6625.000000,6725.000000,6309.272949,105200
2018-12-14,6700.000000,6700.000000,6400.000000,6500.000000,6098.181641,188600
2018-12-17,6500.000000,6500.000000,6150.000000,6400.000000,6004.363770,115400
2018-12-18,6275.000000,6375.000000,6125.000000,6300.000000,5910.545410,27800
2018-12-19,6300.000000,6475.000000,6275.000000,6275.000000,5887.090820,43900
2018-12-20,6275.000000,6350.000000,6100.000000,6275.000000,5887.090820,41600
2018-12-21,6325.000000,6325.000000,6000.000000,6275.000000,5887.090820,13100
2018-12-24,6275.000000,6275.000000,6275.000000,6275.000000,5887.090820,0
2018-12-25,6275.000000,6275.000000,6275.000000,6275.000000,5887.090820,0
2018-12-26,6275.000000,6275.000000,5800.000000,5900.000000,5535.272949,67600
2018-12-27,5950.000000,6000.000000,5675.000000,5750.000000,5394.545410,47000
2018-12-28,5750.000000,5950.000000,5700.000000,5925.000000,5558.727051,81500
2018-12-31,5925.000000,5925.000000,5925.000000,5925.000000,5558.727051,0
2019-01-01,5925.000000,5925.000000,5925.000000,5925.000000,5558.727051,0
2019-01-02,5800.000000,5900.000000,5725.000000,5850.000000,5488.363770,40400
2019-01-03,5850.000000,5900.000000,5775.000000,5775.000000,5418.000000,28100
2019-01-04,5800.000000,6100.000000,5700.000000,5900.000000,5535.272949,27600
2019-01-07,6125.000000,6200.000000,6000.000000,6050.000000,5676.000000,95500
2019-01-08,6050.000000,6350.000000,6025.000000,6300.000000,5910.545410,157600
2019-01-09,6350.000000,6400.000000,6050.000000,6300.000000,5910.545410,65000
2019-01-10,6100.000000,6250.000000,6100.000000,6150.000000,5769.818359,39100
2019-01-11,6150.000000,6200.000000,6025.000000,6200.000000,5816.727051,41900
2019-01-14,6200.000000,6750.000000,6000.000000,6725.000000,6309.272949,389900
2019-01-15,6725.000000,7350.000000,6400.000000,7075.000000,6637.636230,682900
2019-01-16,7075.000000,7100.000000,6850.000000,6875.000000,6450.000000,103800
2019-01-17,6875.000000,7425.000000,6875.000000,7175.000000,6731.454590,404800
2019-01-18,7200.000000,7700.000000,7200.000000,7600.000000,7130.181641,448300
2019-01-21,7600.000000,7675.000000,7350.000000,7400.000000,6942.545410,220300
2019-01-22,7400.000000,7650.000000,7350.000000,7350.000000,6895.636230,107900
2019-01-23,7300.000000,7475.000000,7025.000000,7200.000000,6754.909180,71300
2019-01-24,7300.000000,7500.000000,7125.000000,7125.000000,6684.545410,49500
2019-01-25,7125.000000,7250.000000,6900.000000,7150.000000,6708.000000,85100
2019-01-28,7000.000000,7100.000000,6900.000000,7000.000000,6567.272949,62700
2019-01-29,6925.000000,7125.000000,6750.000000,6975.000000,6543.818359,68600
2019-01-30,6975.000000,7025.000000,6825.000000,6900.000000,6473.454590,42800
2019-01-31,6950.000000,7100.000000,6900.000000,6925.000000,6496.909180,43100
2019-02-01,6925.000000,6950.000000,6700.000000,6950.000000,6520.363770,33400
2019-02-04,6950.000000,7100.000000,6900.000000,7050.000000,6614.181641,32300
2019-02-05,7050.000000,7050.000000,7050.000000,7050.000000,6614.181641,0
2019-02-06,7150.000000,7200.000000,6950.000000,7025.000000,6590.727051,34800
2019-02-07,7025.000000,7025.000000,6900.000000,6900.000000,6473.454590,31700
2019-02-08,6900.000000,7025.000000,6850.000000,7000.000000,6567.272949,50100
2019-02-11,7000.000000,7100.000000,6950.000000,7025.000000,6590.727051,72800
2019-02-12,7100.000000,7100.000000,6700.000000,6775.000000,6356.181641,46400
2019-02-13,6775.000000,6850.000000,6725.000000,6800.000000,6379.636230,7000
2019-02-14,6800.000000,6800.000000,6700.000000,6725.000000,6309.272949,18600
2019-02-15,6725.000000,6750.000000,6500.000000,6525.000000,6121.636230,37500
2019-02-18,6650.000000,6675.000000,6500.000000,6550.000000,6145.090820,49800
2019-02-19,6600.000000,7000.000000,6550.000000,6700.000000,6285.818359,31600
2019-02-20,6700.000000,6800.000000,6600.000000,6700.000000,6285.818359,27300
2019-02-21,6650.000000,6650.000000,6400.000000,6475.000000,6074.727051,76600
2019-02-22,6475.000000,6600.000000,6450.000000,6500.000000,6098.181641,18600
2019-02-25,6700.000000,6800.000000,6500.000000,6550.000000,6145.090820,66900
